,Unnamed: 0,data,job_scaling,data_scaling,transfer_size_worst,transfer_time_worst,transfer_size_opt,transfer_time_opt,transfer_size_improvement,transfer_time_improvement
171,171,data/1w_17-05-2019,9,64,406919220399232,8481435.244316978,396386194723648,10174815.877344547,2.5884807469280897,-19.965732028222764
172,172,data/1w_17-05-2019,9,128,831839950617600,17775452.446607687,806637093872256,20402535.63541532,3.0297723410172988,-14.779276064553802
173,173,data/1w_17-05-2019,9,256,1626835274269696,33551919.02928821,1570683513105920,40091601.28628648,3.4515947651173926,-19.491231638016405
174,174,data/1w_17-05-2019,9,512,3254139669668352,68896844.58027169,3166790206208512,80617254.52299686,2.68425674146747,-17.01153371265025
175,175,data/1w_17-05-2019,10,32,221291575550752,4926680.296503139,214773973057568,5607298.598965399,2.9452555873231714,-13.814947621938241
176,176,data/1w_17-05-2019,10,64,459089368043648,9756252.544455258,445760982116352,11449006.394717434,2.9032225215960135,-17.3504513392718
177,177,data/1w_17-05-2019,10,128,892856237163264,18577279.304263745,865868743222144,22035288.329439733,3.022602387464218,-18.614184394494877
178,178,data/1w_17-05-2019,10,256,1796340161485312,38572787.63379579,1738601189677568,44492463.43200292,3.214256021532262,-15.346766882413668
179,179,data/1w_17-05-2019,10,512,3527258858923520,74844802.98867029,3411271971866112,86433158.58239983,3.2883009639050393,-15.483180035203969
180,180,data/2w_01-05-2019,2,32,136868963840672,5135871.857432387,134223700074176,3468985.4550675536,1.9326980290252866,32.45576308436503
181,181,data/2w_01-05-2019,2,64,269472844612416,9954444.28773062,264037455146496,6721702.164527485,2.0170453441190874,32.475365070731876
182,182,data/2w_01-05-2019,2,128,558551373148416,20258811.0389441,547689639647616,13850527.134768736,1.944625691200989,31.632082908797234
183,183,data/2w_01-05-2019,2,256,1099289633087744,39567342.278809294,1065724337042944,26746091.80483101,3.053362374620052,32.403618073799315
184,184,data/2w_01-05-2019,2,512,2215472266650624,80374152.25327457,2165069542321664,54403280.92905133,2.2750329619408602,32.31246687664459
185,185,data/2w_01-05-2019,3,32,191287679096576,7204983.777457942,185520229210144,4818712.153681736,3.0150660584470628,33.11973624759678
186,186,data/2w_01-05-2019,3,64,386720500018880,14030449.483669927,374706129218112,9600068.063404515,3.1067323299854674,31.57690297393496
187,187,data/2w_01-05-2019,3,128,769011381697664,28347835.75327423,745005024032128,18703089.643161487,3.121716821998101,34.02286578085156
188,188,data/2w_01-05-2019,3,256,1564247159357952,57191293.31822882,1515770797314304,37896634.52544731,3.09902190032074,33.73705624284535
189,189,data/2w_01-05-2019,3,512,3154182186812416,115094180.44675636,3052729757720576,76988053.54665811,3.216441634728994,33.108647850120015
190,190,data/2w_01-05-2019,4,32,248543773939008,9347296.584646532,241669244038240,6258070.972392484,2.7659231980821986,33.04940187014369
191,191,data/2w_01-05-2019,4,64,517336160270976,19486013.864872765,500587161202944,12619256.118551092,3.2375465614580325,35.23941732742121
192,192,data/2w_01-05-2019,4,128,1005896793203072,37835006.1475364,976205827803392,24487667.043405473,2.951691028374314,35.27775058918559
193,193,data/2w_01-05-2019,4,256,1994808846982912,73300800.40166171,1930882495027712,48256893.77248045,3.2046354743155803,34.1659388327955
194,194,data/2w_01-05-2019,4,512,4023020854016000,147314677.02303547,3903974059574784,97457303.58680509,2.9591393820983294,33.84413178900988
195,195,data/2w_01-05-2019,5,32,306160142597184,11538460.761484824,294813663650144,7610807.053954209,3.7060601196441834,34.03966775742786
196,196,data/2w_01-05-2019,5,64,603559795470592,23024984.04903469,584570781517440,14726271.471115025,3.146169459207663,36.04220771769692
197,197,data/2w_01-05-2019,5,128,1211248952298752,44580550.16549379,1171909724135936,29355490.05858876,3.2478235038434167,34.15179949638557
198,198,data/2w_01-05-2019,5,256,2384318752930816,88074198.11498512,2307387531121664,57570796.74163962,3.226549374515793,34.63375429603326
199,199,data/2w_01-05-2019,5,512,4754075620264960,177969494.16391394,4582325142413824,114304219.5954623,3.612699745856457,35.77313902449735
200,200,data/2w_01-05-2019,6,32,350715164355520,13547950.433296658,339237426085184,8670247.885189462,3.2726666642509405,36.00325061803678
201,201,data/2w_01-05-2019,6,64,701303962841664,26445633.17063559,675252443042176,17132855.716986135,3.7147258791933773,35.2148023590907
202,202,data/2w_01-05-2019,6,128,1408310550285696,52999650.44528436,1354226305642624,33860409.92259993,3.8403635215329626,36.11201274326017
203,203,data/2w_01-05-2019,6,256,2794408538261248,104789941.77023536,2693666919315712,67240330.60786039,3.605114197375735,35.83322075386495
